32=>安徽-安庆 anqing.x.com 安庆
331=>四川-内江 neijiang.x.com 内江
332=>四川-攀枝花 panzhihua.x.com 攀枝花
333=>四川-遂宁 suining.x.com 遂宁
334=>四川-雅安 yaan.x.com 雅安
335=>四川-宜宾 yibin.x.com 宜宾
336=>四川-资阳 ziyang.x.com 资阳
337=>四川-自贡 zigong.x.com 自贡
338=>四川-泸州 luzhou.x.com 泸州
339=>天津-天津 tianjin2.x.com 天津
340=>西藏-拉萨 lasa.x.com 拉萨
341=>西藏-阿里 ali.x.com 阿里
342=>西藏-昌都 changdou.x.com 昌都
343=>西藏-林芝 linzhi.x.com 林芝
344=>西藏-那曲 naqu.x.com 那曲
345=>西藏-日喀则 rikaze.x.com 日喀则
346=>西藏-山南 shannan.x.com 山南
347=>新疆-乌鲁木齐 wulumuqi.x.com 乌鲁木齐
348=>新疆-阿克苏 akesu.x.com 阿克苏
349=>新疆-阿拉尔 alaer.x.com 阿拉尔
350=>新疆-巴音郭楞 bayinguoleng.x.com 巴音郭楞
351=>新疆-博尔塔拉 boertala.x.com 博尔塔拉
352=>新疆-昌吉 changji.x.com 昌吉
353=>新疆-哈密 hami.x.com 哈密
354=>新疆-和田 hetian.x.com 和田
355=>新疆-喀什 kashen.x.com 喀什
356=>新疆-克拉玛依 kelamayi.x.com 克拉玛依
357=>新疆-克孜勒苏 kezileisu.x.com 克孜勒苏
358=>新疆-石河子 shihezi.x.com 石河子
359=>新疆-图木舒克 tumushuke.x.com 图木舒克
360=>新疆-吐鲁番 tulufan.x.com 吐鲁番
361=>新疆-五家渠 wujiaqu.x.com 五家渠
362=>新疆-伊犁 yili.x.com 伊犁
363=>云南-昆明 kunming.x.com 昆明
364=>云南-怒江 nujiang.x.com 怒江
365=>云南-普洱 puer.x.com 普洱
366=>云南-丽江 lijiang.x.com 丽江
367=>云南-保山 baoshan.x.com 保山
368=>云南-楚雄 chuxiong.x.com 楚雄
369=>云南-大理 dali.x.com 大理
370=>云南-德宏 dehong.x.com 德宏
371=>云南-迪庆 diqing.x.com 迪庆
372=>云南-红河 honghe.x.com 红河
373=>云南-临沧 lincang.x.com 临沧
374=>云南-曲靖 qujing.x.com 曲靖
375=>云南-文山 wenshan.x.com 文山
376=>云南-西双版纳 xishuangbanna.x.com 西双版纳
377=>云南-玉溪 yuxi.x.com 玉溪
378=>云南-昭通 zhaotong.x.com 昭通
379=>浙江-杭州 hangzhou.x.com 杭州
380=>浙江-湖州 huzhou.x.com 湖州
381=>浙江-嘉兴 jiaxing.x.com 嘉兴
382=>浙江-金华 jinhua.x.com 金华
383=>浙江-丽水 lishui.x.com 丽水
384=>浙江-宁波 ningbo.x.com 宁波
385=>浙江-绍兴 shaoxing.x.com 绍兴
386=>浙江-台州 taizhou2.x.com 台州
387=>浙江-温州 wenzhou.x.com 温州
388=>浙江-舟山 zhoushan.x.com 舟山
389=>浙江-衢州 quzhou.x.com 衢州
390=>重庆-重庆 zhongqing2.x.com 重庆
3358=>安徽-合肥 hefei.x.com 合肥
