99999=>长株潭-长株潭 changzhutan.x.com 长株潭
3306=>浙江-温州-苍南县 cangnanxian.x.com 苍南县
3258=>浙江-金华-东阳市 dongyangshi.x.com 东阳市
1151=>河北-邯郸-武安市 wuanshi.x.com 武安市
2076=>辽宁-大连-庄河市 zhuangheshi.x.com 庄河市
2432=>山东-潍坊-诸城市 zhuchengshi.x.com 诸城市
2419=>山东-泰安-新泰市 xintaishi.x.com 新泰市
3259=>浙江-金华-永康市 yongkangshi.x.com 永康市
764=>广东-揭阳-普宁市 puningshi.x.com 普宁市
754=>广东-惠州-惠东县 huidongxian.x.com 惠东县
1569=>湖北-黄石-大冶市 dayeshi.x.com 大冶市
3294=>浙江-台州-玉环县 yuhuanxian.x.com 玉环县
1342=>河南-商丘-永城市 yongchengshi.x.com 永城市
1123=>河北-沧州-任丘市 renqiushi.x.com 任丘市
3363=>安徽-合肥-长丰县 zhangfengxian.x.com 长丰县
1615=>湖北-孝感-汉川市 hanchuanshi.x.com 汉川市
3245=>浙江-嘉兴-平湖市 pinghushi.x.com 平湖市
2369=>山东-东营-广饶县 guangraoxian.x.com 广饶县
3285=>浙江-绍兴-嵊州市 shengzhoushi.x.com 嵊州市
3244=>浙江-嘉兴-嘉善县 jiashanxian.x.com 嘉善县
753=>广东-惠州-博罗县 boluoxian.x.com 博罗县
3098=>云南-昆明-安宁市 anningshi.x.com 安宁市
542=>福建-宁德-福安市 fuanshi.x.com 福安市
1936=>江苏-盐城-射阳县 sheyangxian.x.com 射阳县
3=>山东-滨州-邹平县 zoupingxian.x.com 邹平县
887=>广西-北海-海城区 haichengqu.x.com 海城区
2431=>山东-潍坊-青州市 qingzhoushi.x.com 青州市
41=>安徽-六安 liuan.x.com 六安
26=>天津 tianjin.x.com 天津
296=>山西-太原 taiyuan.x.com 太原
142=>河北-唐山 tangshan.x.com 唐山
386=>浙江-台州 taizhou2.x.com 台州
252=>辽宁-铁岭 tieling.x.com 铁岭
290=>山东-泰安 taian.x.com 泰安
224=>江苏-泰州 taizhou.x.com 泰州
312=>陕西-铜川 tongchuan.x.com 铜川
261=>内蒙古-通辽 tongliao.x.com 通辽
44=>安徽-铜陵 tongling.x.com 铜陵
214=>吉林-通化 tonghua.x.com 通化
69=>甘肃-天水 tianshui.x.com 天水
114=>贵州-铜仁 tongren.x.com 铜仁
176=>湖北-武汉 wuhan.x.com 武汉
218=>江苏-无锡 wuxi.x.com 无锡
387=>浙江-温州 wenzhou.x.com 温州
291=>山东-威海 weihai.x.com 威海
347=>新疆-乌鲁木齐 wulumuqi.x.com 乌鲁木齐
45=>安徽-芜湖 wuhu.x.com 芜湖
292=>山东-潍坊 weifang.x.com 潍坊
313=>陕西-渭南 weinan.x.com 渭南
307=>陕西-西安 xian.x.com 西安
56=>福建-厦门 shamen.x.com 厦门
156=>河南-新乡 xinxiang.x.com 新乡
158=>河南-许昌 xuchang.x.com 许昌
225=>江苏-徐州 xuzhou.x.com 徐州
1605=>湖北-襄樊-襄阳区 xiangyangqu23.x.com 襄阳区
27=>西藏 xicang.x.com 西藏
314=>陕西-咸阳 xianyang.x.com 咸阳
157=>河南-信阳 xinyang.x.com 信阳
143=>河北-邢台 xingtai.x.com 邢台
28=>新疆 xinjiang.x.com 新疆
237=>江西-新余 xinyu.x.com 新余
190=>湖北-孝感 xiaogan.x.com 孝感
46=>安徽-宣城 xuancheng.x.com 宣城
188=>湖北-咸宁 xianning.x.com 咸宁
271=>青海-西宁 xining.x.com 西宁
242=>辽宁-鞍山 anshan.x.com 鞍山
108=>贵州-安顺 anshun.x.com 安顺
148=>河南-安阳 anyang.x.com 安阳
32=>安徽-安庆 anqing.x.com 安庆
308=>陕西-安康 ankang.x.com 安康
1=>北京 beijing.x.com 北京
135=>河北-保定 baoding.x.com 保定
257=>内蒙古-包头 baotou.x.com 包头
281=>山东-滨州 binzhou.x.com 滨州
309=>陕西-宝鸡 baoji.x.com 宝鸡
47=>安徽-亳州 bozhou.x.com 亳州
96=>广西-北海 beihai.x.com 北海
33=>安徽-蚌埠 bangbu.x.com 蚌埠
59=>甘肃-白银 baiyin.x.com 白银
209=>吉林-白城 baicheng.x.com 白城
210=>吉林-白山 baishan.x.com 白山
321=>四川-巴中 bazhong.x.com 巴中
973=>贵州-毕节-毕节市 bijieshi.x.com 毕节市
207=>吉林-长春 zhangchun.x.com 长春
318=>四川-成都 chengdou.x.com 成都
31=>重庆 zhongqing.x.com 重庆
219=>江苏-常州 changzhou.x.com 常州
136=>河北-沧州 cangzhou.x.com 沧州
195=>湖南-常德 changde.x.com 常德
1848=>江苏-苏州-常熟市 changshushi.x.com 常熟市
36=>安徽-滁州 chuzhou.x.com 滁州
137=>河北-承德 chengde.x.com 承德
196=>湖南-郴州 chenzhou.x.com 郴州
74=>广东-潮州 chaozhou.x.com 潮州
297=>山西-长治 zhangzhi.x.com 长治
35=>安徽-池州 chizhou.x.com 池州
258=>内蒙古-赤峰 chifeng.x.com 赤峰
241=>辽宁-大连 dalian.x.com 大连
75=>广东-东莞 dongguan.x.com 东莞
164=>黑龙江-大庆 daqing.x.com 大庆
245=>辽宁-丹东 dandong.x.com 丹东
283=>山东-东营 dongying.x.com 东营
282=>山东-德州 dezhou.x.com 德州
323=>四川-德阳 deyang.x.com 德阳
298=>山西-大同 datong.x.com 大同
322=>四川-达州 dazhou.x.com 达州
369=>云南-大理 dali.x.com 大理
259=>内蒙古-鄂尔多斯 eerduosi.x.com 鄂尔多斯
178=>湖北-鄂州 ezhou.x.com 鄂州
192=>湖北-恩施 enshi.x.com 恩施
49=>福建-福州 fuzhou.x.com 福州
76=>广东-佛山 fushan.x.com 佛山
246=>辽宁-抚顺 fushun.x.com 抚顺
230=>江西-抚州 fuzhou2.x.com 抚州
37=>安徽-阜阳 fuyang.x.com 阜阳
72=>广东-广州 guangzhou.x.com 广州
107=>贵州-贵阳 guiyang.x.com 贵阳
231=>江西-赣州 ganzhou.x.com 赣州
94=>广西-桂林 guilin.x.com 桂林
326=>四川-广元 guangyuan.x.com 广元
325=>四川-广安 guangan.x.com 广安
71=>甘肃-张掖 zhangye.x.com 张掖
163=>黑龙江-哈尔滨 haerbin.x.com 哈尔滨
379=>浙江-杭州 hangzhou.x.com 杭州
3358=>安徽-合肥 hefei.x.com 合肥
197=>湖南-衡阳 hengyang.x.com 衡阳
139=>河北-衡水 hengshui.x.com 衡水
138=>河北-邯郸 handan.x.com 邯郸
116=>海南-海口 haikou.x.com 海口
254=>内蒙古-呼和浩特 huhehaote.x.com 呼和浩特
380=>浙江-湖州 huzhou.x.com 湖州
220=>江苏-淮安 huaian.x.com 淮安
284=>山东-菏泽 heze.x.com 菏泽
38=>安徽-淮北 huaibei.x.com 淮北
310=>陕西-汉中 hanzhong.x.com 汉中
260=>内蒙古-呼伦贝尔 hulunbeier.x.com 呼伦贝尔
248=>辽宁-葫芦岛 huludao.x.com 葫芦岛
78=>广东-惠州 huizhou.x.com 惠州
149=>河南-鹤壁 hebi.x.com 鹤壁
39=>安徽-淮南 huainan.x.com 淮南
1822=>吉林-延边-珲春市 huichunshi.x.com 珲春市
179=>湖北-黄冈 huanggang.x.com 黄冈
180=>湖北-黄石 huangshi.x.com 黄石
198=>湖南-怀化 huaihua.x.com 怀化
167=>黑龙江-黑河 heihe.x.com 黑河
77=>广东-河源 heyuan.x.com 河源
279=>山东-济南 jinan.x.com 济南
215=>吉林-延边 yanbian.x.com 延边
381=>浙江-嘉兴 jiaxing.x.com 嘉兴
79=>广东-江门 jiangmen.x.com 江门
1870=>江苏-无锡-江阴市 jiangyinshi.x.com 江阴市
234=>江西-九江 jiujiang.x.com 九江
285=>山东-济宁 jining.x.com 济宁
382=>浙江-金华 jinhua.x.com 金华
182=>湖北-荆州 jingzhou.x.com 荆州
151=>河南-焦作 jiaozuo.x.com 焦作
80=>广东-揭阳 jieyang.x.com 揭阳
169=>黑龙江-佳木斯 jiamusi.x.com 佳木斯
249=>辽宁-锦州 jinzhou.x.com 锦州
300=>山西-晋中 jinzhong.x.com 晋中
232=>江西-吉安 jian.x.com 吉安
233=>江西-景德镇 jingdezhen.x.com 景德镇
299=>山西-晋城 jincheng.x.com 晋城
150=>河南-济源 jiyuan.x.com 济源
1720=>湖南-湘西-吉首市 jishoushi.x.com 吉首市
147=>河南-开封 kaifeng.x.com 开封
363=>云南-昆明 kunming.x.com 昆明
760=>广东-江门-开平市 kaipingshi.x.com 开平市
288=>山东-临沂 linyi.x.com 临沂
58=>甘肃-兰州 lanzhou.x.com 兰州
146=>河南-洛阳 luoyang.x.com 洛阳
221=>江苏-连云港 lianyungang.x.com 连云港
287=>山东-聊城 liaocheng.x.com 聊城
103=>广西-柳州 liuzhou.x.com 柳州
140=>河北-廊坊 langfang.x.com 廊坊
110=>贵州-六盘水 liupanshui.x.com 六盘水
161=>河南-漯河 luohe.x.com 漯河
286=>山东-莱芜 laiwu.x.com 莱芜
327=>四川-乐山 leshan.x.com 乐山
250=>辽宁-辽阳 liaoyang.x.com 辽阳
50=>福建-龙岩 longyan.x.com 龙岩
383=>浙江-丽水 lishui.x.com 丽水
301=>山西-临汾 linfen.x.com 临汾
302=>山西-吕梁 lvliang.x.com 吕梁
211=>吉林-辽源 liaoyuan.x.com 辽源
338=>四川-泸州 luzhou.x.com 泸州
199=>湖南-娄底 loudi.x.com 娄底
42=>安徽-马鞍山 maanshan.x.com 马鞍山
319=>四川-绵阳 mianyang.x.com 绵阳
82=>广东-梅州 meizhou.x.com 梅州
81=>广东-茂名 maoming.x.com 茂名
170=>黑龙江-牡丹江 mudanjiang.x.com 牡丹江
3162=>云南-红河-蒙自县 mengzixian.x.com 蒙自县
330=>四川-南充 nanchong.x.com 南充
216=>江苏-南京 nanjing.x.com 南京
152=>河南-南阳 nanyang.x.com 南阳
384=>浙江-宁波 ningbo.x.com 宁波
229=>江西-南昌 nanchang.x.com 南昌
222=>江苏-南通 nantong.x.com 南通
93=>广西-南宁 nanning.x.com 南宁
51=>福建-南平 nanping.x.com 南平
52=>福建-宁德 ningde.x.com 宁德
331=>四川-内江 neijiang.x.com 内江
19=>宁夏 ningxia.x.com 宁夏
153=>河南-平顶山 pingdingshan.x.com 平顶山
53=>福建-莆田 putian.x.com 莆田
162=>河南-濮阳 puyang.x.com 濮阳
764=>广东-揭阳-普宁市 puningshi.x.com 普宁市
251=>辽宁-盘锦 panjin.x.com 盘锦
332=>四川-攀枝花 panzhihua.x.com 攀枝花
235=>江西-萍乡 pingxiang.x.com 萍乡
280=>山东-青岛 qingdao.x.com 青岛
141=>河北-秦皇岛 qinhuangdao.x.com 秦皇岛
54=>福建-泉州 quanzhou.x.com 泉州
83=>广东-清远 qingyuan.x.com 清远
20=>青海 qinghai.x.com 青海
374=>云南-曲靖 qujing.x.com 曲靖
172=>黑龙江-齐齐哈尔 qiqihaer.x.com 齐齐哈尔
389=>浙江-衢州 quzhou.x.com 衢州
113=>贵州-黔西南 qianxinan.x.com 黔西南
289=>山东-日照 rizhao.x.com 日照
24=>上海 shanghai.x.com 上海
155=>河南-商丘 shangqiu.x.com 商丘
73=>广东-深圳 shenzhen.x.com 深圳
240=>辽宁-沈阳 shenyang.x.com 沈阳
134=>河北-石家庄 shijiazhuang.x.com 石家庄
223=>江苏-宿迁 suqian.x.com 宿迁
217=>江苏-苏州 suzhou2.x.com 苏州
43=>安徽-宿州 suzhou.x.com 宿州
186=>湖北-随州 suizhou.x.com 随州
385=>浙江-绍兴 shaoxing.x.com 绍兴
117=>海南-三亚 sanya.x.com 三亚
84=>广东-汕头 shantou.x.com 汕头
212=>吉林-四平 siping.x.com 四平
236=>江西-上饶 shangrao.x.com 上饶
200=>湖南-邵阳 shaoyang.x.com 邵阳
185=>湖北-十堰 shiyan.x.com 十堰
154=>河南-三门峡 sanmenxia.x.com 三门峡
311=>陕西-商洛 shangluo.x.com 商洛
333=>四川-遂宁 suining.x.com 遂宁
55=>福建-三明 sanming.x.com 三明
86=>广东-韶关 shaoguan.x.com 韶关
213=>吉林-松原 songyuan.x.com 松原
174=>黑龙江-绥化 suihua.x.com 绥化
85=>广东-汕尾 shanwei.x.com 汕尾
2=>安徽 anhui.x.com 安徽
4=>甘肃 gansu.x.com 甘肃
5=>广东 guangdong.x.com 广东
6=>广西 guangxi.x.com 广西
7=>贵州 guizhou.x.com 贵州
8=>海南 hainan.x.com 海南
9=>河北 hebei.x.com 河北
10=>河南 henan.x.com 河南
11=>黑龙江 heilongjiang.x.com 黑龙江
12=>湖北 hubei.x.com 湖北
13=>湖南 hunan.x.com 湖南
14=>吉林 jilin.x.com 吉林
15=>江苏 jiangsu.x.com 江苏
16=>江西 jiangxi.x.com 江西
17=>辽宁 liaoning.x.com 辽宁
18=>内蒙古 neimenggu.x.com 内蒙古
21=>山东 shandong.x.com 山东
22=>山西 shanxi.x.com 山西
23=>陕西 shanxi2.x.com 陕西
25=>四川 sichuan.x.com 四川
29=>云南 yunnan.x.com 云南
30=>浙江 zhejiang.x.com 浙江
493=>北京-北京-东城区 dongchengqu.x.com 东城区
494=>北京-北京-西城区 xichengqu.x.com 西城区
495=>北京-北京-海淀区 haidianqu.x.com 海淀区
496=>北京-北京-朝阳区 chaoyangqu.x.com 朝阳区
497=>北京-北京-崇文区 chongwenqu.x.com 崇文区
498=>北京-北京-宣武区 xuanwuqu.x.com 宣武区
499=>北京-北京-丰台区 fengtaiqu.x.com 丰台区
500=>北京-北京-石景山区 shijingshanqu.x.com 石景山区
501=>北京-北京-房山区 fangshanqu.x.com 房山区
502=>北京-北京-门头沟区 mentougouqu.x.com 门头沟区
503=>北京-北京-通州区 tongzhouqu.x.com 通州区
504=>北京-北京-顺义区 shunyiqu.x.com 顺义区
505=>北京-北京-昌平区 changpingqu.x.com 昌平区
506=>北京-北京-怀柔区 huairouqu.x.com 怀柔区
507=>北京-北京-平谷区 pingguqu.x.com 平谷区
508=>北京-北京-大兴区 daxingqu.x.com 大兴区
509=>北京-北京-密云县 miyunxian.x.com 密云县
510=>北京-北京-延庆县 yanqingxian.x.com 延庆县
511=>福建-福州-鼓楼区 gulouqu.x.com 鼓楼区
512=>福建-福州-台江区 taijiangqu.x.com 台江区
513=>福建-福州-仓山区 cangshanqu.x.com 仓山区
514=>福建-福州-马尾区 maweiqu.x.com 马尾区
515=>福建-福州-晋安区 jinanqu2.x.com 晋安区
516=>福建-福州-福清市 fuqingshi.x.com 福清市
517=>福建-福州-长乐市 zhangleshi.x.com 长乐市
519=>福建-福州-连江县 lianjiangxian.x.com 连江县
520=>福建-福州-罗源县 luoyuanxian.x.com 罗源县
521=>福建-福州-闽清县 minqingxian.x.com 闽清县
522=>福建-福州-永泰县 yongtaixian.x.com 永泰县
523=>福建-福州-平潭县 pingtanxian.x.com 平潭县
524=>福建-龙岩-新罗区 xinluoqu.x.com 新罗区
525=>福建-龙岩-漳平市 zhangpingshi.x.com 漳平市
526=>福建-龙岩-长汀县 zhangtingxian.x.com 长汀县
527=>福建-龙岩-永定县 yongdingxian.x.com 永定县
528=>福建-龙岩-上杭县 shanghangxian.x.com 上杭县
529=>福建-龙岩-武平县 wupingxian.x.com 武平县
530=>福建-龙岩-连城县 lianchengxian.x.com 连城县
531=>福建-南平-延平区 yanpingqu.x.com 延平区
532=>福建-南平-邵武市 shaowushi.x.com 邵武市
533=>福建-南平-武夷山市 wuyishanshi.x.com 武夷山市
534=>福建-南平-建瓯市 jianoushi.x.com 建瓯市
535=>福建-南平-建阳市 jianyangshi.x.com 建阳市
536=>福建-南平-顺昌县 shunchangxian.x.com 顺昌县
537=>福建-南平-浦城县 puchengxian.x.com 浦城县
538=>福建-南平-光泽县 guangzexian.x.com 光泽县
539=>福建-南平-松溪县 songxixian.x.com 松溪县
540=>福建-南平-政和县 zhenghexian.x.com 政和县
541=>福建-宁德-蕉城区 jiaochengqu.x.com 蕉城区
543=>福建-宁德-福鼎市 fudingshi.x.com 福鼎市
544=>福建-宁德-霞浦县 xiapuxian.x.com 霞浦县
545=>福建-宁德-古田县 gutianxian.x.com 古田县
546=>福建-宁德-屏南县 pingnanxian.x.com 屏南县
547=>福建-宁德-寿宁县 shouningxian.x.com 寿宁县
548=>福建-宁德-周宁县 zhouningxian.x.com 周宁县
549=>福建-宁德-柘荣县 zherongxian.x.com 柘荣县
550=>福建-莆田-城厢区 chengxiangqu.x.com 城厢区
551=>福建-莆田-涵江区 hanjiangqu.x.com 涵江区
552=>福建-莆田-荔城区 lichengqu.x.com 荔城区
553=>福建-莆田-秀屿区 xiuyuqu.x.com 秀屿区
554=>福建-莆田-仙游县 xianyouxian.x.com 仙游县
555=>福建-泉州-鲤城区 lichengqu2.x.com 鲤城区
556=>福建-泉州-丰泽区 fengzequ.x.com 丰泽区
557=>福建-泉州-洛江区 luojiangqu.x.com 洛江区
558=>福建-泉州-清濛开发区 qingmengkaifaqu.x.com 清濛开发区
559=>福建-泉州-泉港区 quangangqu.x.com 泉港区
564=>福建-泉州-安溪县 anxixian.x.com 安溪县
565=>福建-泉州-永春县 yongchunxian.x.com 永春县
566=>福建-泉州-德化县 dehuaxian.x.com 德化县
567=>福建-泉州-金门县 jinmenxian.x.com 金门县
568=>福建-三明-梅列区 meiliequ.x.com 梅列区
569=>福建-三明-三元区 sanyuanqu.x.com 三元区
570=>福建-三明-永安市 yonganshi.x.com 永安市
571=>福建-三明-明溪县 mingxixian.x.com 明溪县
572=>福建-三明-清流县 qingliuxian.x.com 清流县
573=>福建-三明-宁化县 ninghuaxian.x.com 宁化县
574=>福建-三明-大田县 datianxian.x.com 大田县
575=>福建-三明-尤溪县 youxixian.x.com 尤溪县
576=>福建-三明-沙县 shaxian.x.com 沙县
577=>福建-三明-将乐县 jianglexian.x.com 将乐县
578=>福建-三明-泰宁县 tainingxian.x.com 泰宁县
579=>福建-三明-建宁县 jianningxian.x.com 建宁县
580=>福建-厦门-思明区 simingqu.x.com 思明区
581=>福建-厦门-海沧区 haicangqu.x.com 海沧区
582=>福建-厦门-湖里区 huliqu.x.com 湖里区
583=>福建-厦门-集美区 jimeiqu.x.com 集美区
584=>福建-厦门-同安区 tonganqu.x.com 同安区
585=>福建-厦门-翔安区 xianganqu.x.com 翔安区
586=>福建-漳州-芗城区 xiangchengqu.x.com 芗城区
587=>福建-漳州-龙文区 longwenqu.x.com 龙文区
588=>福建-漳州-龙海市 longhaishi.x.com 龙海市
589=>福建-漳州-云霄县 yunxiaoxian.x.com 云霄县
590=>福建-漳州-漳浦县 zhangpuxian.x.com 漳浦县
591=>福建-漳州-诏安县 zhaoanxian.x.com 诏安县
592=>福建-漳州-长泰县 zhangtaixian.x.com 长泰县
593=>福建-漳州-东山县 dongshanxian.x.com 东山县
594=>福建-漳州-南靖县 nanjingxian.x.com 南靖县
595=>福建-漳州-平和县 pinghexian.x.com 平和县
596=>福建-漳州-华安县 huaanxian.x.com 华安县
1827=>江苏-南京-玄武区 xuanwuqu2.x.com 玄武区
1828=>江苏-南京-鼓楼区 gulouqu23.x.com 鼓楼区
1829=>江苏-南京-白下区 baixiaqu.x.com 白下区
1830=>江苏-南京-建邺区 jianyequ.x.com 建邺区
1831=>江苏-南京-秦淮区 qinhuaiqu.x.com 秦淮区
1832=>江苏-南京-雨花台区 yuhuataiqu.x.com 雨花台区
1833=>江苏-南京-下关区 xiaguanqu.x.com 下关区
1834=>江苏-南京-栖霞区 qixiaqu.x.com 栖霞区
1835=>江苏-南京-浦口区 pukouqu.x.com 浦口区
1836=>江苏-南京-江宁区 jiangningqu.x.com 江宁区
1837=>江苏-南京-六合区 liuhequ.x.com 六合区
1838=>江苏-南京-溧水县 lishuixian.x.com 溧水县
1839=>江苏-南京-高淳县 gaochunxian.x.com 高淳县
1840=>江苏-苏州-沧浪区 canglangqu.x.com 沧浪区
1841=>江苏-苏州-金阊区 jinchangqu.x.com 金阊区
1842=>江苏-苏州-平江区 pingjiangqu.x.com 平江区
1843=>江苏-苏州-虎丘区 huqiuqu.x.com 虎丘区
1844=>江苏-苏州-吴中区 wuzhongqu.x.com 吴中区
1845=>江苏-苏州-相城区 xiangchengqu23.x.com 相城区
1846=>江苏-苏州-园区 yuanqu2.x.com 园区
1847=>江苏-苏州-新区 xinqu.x.com 新区
1850=>江苏-苏州-玉山镇 yushanzhen.x.com 玉山镇
1851=>江苏-苏州-巴城镇 bachengzhen.x.com 巴城镇
1852=>江苏-苏州-周市镇 zhoushizhen.x.com 周市镇
1853=>江苏-苏州-陆家镇 lujiazhen.x.com 陆家镇
1854=>江苏-苏州-花桥镇 huaqiaozhen.x.com 花桥镇
1855=>江苏-苏州-淀山湖镇 dianshanhuzhen.x.com 淀山湖镇
1856=>江苏-苏州-张浦镇 zhangpuzhen.x.com 张浦镇
1857=>江苏-苏州-周庄镇 zhouzhuangzhen.x.com 周庄镇
1858=>江苏-苏州-千灯镇 qiandengzhen.x.com 千灯镇
1859=>江苏-苏州-锦溪镇 jinxizhen.x.com 锦溪镇
1860=>江苏-苏州-开发区 kaifaqu2.x.com 开发区
1861=>江苏-苏州-吴江市 wujiangshi.x.com 吴江市
1863=>江苏-无锡-崇安区 chonganqu.x.com 崇安区
1864=>江苏-无锡-北塘区 beitangqu.x.com 北塘区
